Hotel ID,Hotel Name,Total Rating,Overall Customers
313947,4 East Madison Inn Boutique Hotel,22.5,2
275870,Residence Inn Baltimore White Marsh,17.272727272727273,11
89332,Leisure Inn Baltimore West,3.25,4
89362,Motel 6 Baltimore,2.8333333333333335,6
89357,Rodeway Inn & Suites,7.0,2
574054,Park Plaza Motel,2.0,1
124186,Sleep Inn & Suites Airport,8.0,4
631880,Americas Best Value Inn,12.666666666666666,6
89326,Biltmore Suites Hotel,8.6,20
89340,BEST WESTERN Baltimore West,5.222222222222222,9
610125,Rodeway Inn Mid Town,5.0,1
224642,Hampton Inn Baltimore / White Marsh,11.25,4
89344,Baltimore Marriott Inner Harbor at Camden Yards,14.297297297297296,37
89367,Days Inn Baltimore,7.555555555555555,9
217536,La Quinta Inn & Suites Baltimore North,5.571428571428571,7
309189,Hampton Inn & Suites Baltimore Inner Harbor,15.653846153846153,26
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,13.625,16
93889,Tremont Suites Hotel and Grand Historic Venue,12.38888888888889,54
89331,Days Inn Inner Harbor,8.692307692307692,26
89351,Holiday Inn Express Baltimore at the Stadiums,23.0,13
89353,Radisson Plaza Lord Baltimore,11.464285714285714,56
124839,Admiral Fell Inn,12.04,25
100407,Hilton Garden Inn Baltimore / White Marsh,19.4,5
89343,Hyatt Regency Baltimore,12.879310344827585,58
291397,Mount Vernon Hotel,9.612903225806452,31
89358,Renaissance Baltimore Harborplace Hotel,14.207317073170731,82
89382,Four Points by Sheraton BWI Airport,12.923076923076923,13
77730,BEST WESTERN PLUS Hotel & Conference Center,12.4,15
89361,Sheraton Inner Harbor Hotel,11.45,40
89327,Brookshire Suites,10.840909090909092,44
566439,Residence Inn by Marriott Baltimore Downtown/Inner Harbor,23.2,15
111408,Henderson's Wharf Inn,15.89795918367347,49
120957,Pier 5 Hotel,9.745762711864407,59
89336,Royal Sonesta Harbor Court Baltimore,10.25,32
223983,Baltimore Marriott Waterfront,14.0,79
