Hotel ID,Hotel Name,Total Rating,Overall Customers
313947,4 East Madison Inn Boutique Hotel,22.5,2
275870,Residence Inn Baltimore White Marsh,16.375,8
89362,Motel 6 Baltimore,2.6666666666666665,3
89357,Rodeway Inn & Suites,7.0,2
574054,Park Plaza Motel,2.0,1
124186,Sleep Inn & Suites Airport,2.3333333333333335,3
631880,Americas Best Value Inn,11.8,5
89326,Biltmore Suites Hotel,7.0,15
89340,BEST WESTERN Baltimore West,4.0,7
224642,Hampton Inn Baltimore / White Marsh,9.666666666666666,3
89344,Baltimore Marriott Inner Harbor at Camden Yards,12.64,25
89367,Days Inn Baltimore,4.6,5
217536,La Quinta Inn & Suites Baltimore North,5.0,4
309189,Hampton Inn & Suites Baltimore Inner Harbor,14.421052631578947,19
223985,Courtyard by Marriott Baltimore Downtown / Inner Harbor,6.142857142857143,7
93889,Tremont Suites Hotel and Grand Historic Venue,11.418604651162791,43
89331,Days Inn Inner Harbor,5.166666666666667,18
89353,Radisson Plaza Lord Baltimore,8.897435897435898,39
124839,Admiral Fell Inn,8.625,16
100407,Hilton Garden Inn Baltimore / White Marsh,19.0,4
89343,Hyatt Regency Baltimore,10.2,35
89382,Four Points by Sheraton BWI Airport,12.5,8
291397,Mount Vernon Hotel,9.133333333333333,15
89358,Renaissance Baltimore Harborplace Hotel,11.39622641509434,53
77730,BEST WESTERN PLUS Hotel & Conference Center,11.333333333333334,9
89361,Sheraton Inner Harbor Hotel,10.583333333333334,24
89327,Brookshire Suites,8.5,30
566439,Residence Inn by Marriott Baltimore Downtown/Inner Harbor,14.333333333333334,3
111408,Henderson's Wharf Inn,13.63888888888889,36
120957,Pier 5 Hotel,8.375,48
89336,Royal Sonesta Harbor Court Baltimore,9.892857142857142,28
223983,Baltimore Marriott Waterfront,12.126984126984127,63
