Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,3.8,5
123234,Heart O' Chicago Motel,24.0,1
123209,Chateau Hotel,1.0,1
87600,Delaware Towers,2.6666666666666665,3
123317,Belair Hotel,2.5,2
123224,Patio Motel,5.0,1
123217,Sheffield House,3.0,3
90918,Inn at Lincoln Park,4.0,1
90922,Ramada Inn Lake Shore - Chicago,2.0,4
123225,Ohio House Motel,3.4,10
114583,BEST WESTERN Grant Park Hotel,9.0,2
111509,The Sutton Place Hotel,5.0,3
87627,Red Roof Inn,1.0,2
87576,Travelodge Chicago Downtown,4.333333333333333,3
114578,Wyndham Blake Chicago,4.0,1
87613,Howard Johnson Inn Downtown Chicago,8.25,4
90969,Holiday Inn Chicago Downtown,3.0,1
111487,Hilton Garden Inn Chicago Downtown/Magnificent Mile,4.0,1
87573,Chicago's Essex Inn,2.857142857142857,7
223061,Embassy Suites Hotel Chicago Downtown Lakefront,4.0,1
87656,The Tremont Chicago Hotel at Magnificent Mile,3.15,20
90955,Residence Inn Chicago Downtown,4.0,1
90976,Courtyard by Marriott Chicago Downtown,4.333333333333333,3
114600,The Whitehall Hotel,3.7142857142857144,7
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",6.714285714285714,7
87657,The Westin Michigan Avenue Chicago,3.5454545454545454,11
90973,Allerton Hotel,3.125,8
114581,Swissotel Chicago,5.357142857142857,14
90916,Majestic Hotel,3.6666666666666665,3
87618,Hyatt Regency McCormick Place,3.0,3
235386,Wheeler Mansion,3.5,2
114608,"Hotel Cass, a Holiday Inn Express",4.684210526315789,19
123319,Hilton Chicago O'Hare Airport,1.0,1
250023,River Hotel,3.8333333333333335,6
90986,Hilton Suites Chicago/Magnificent Mile,4.25,4
87592,Marriott Chicago Downtown Magnificent Mile,5.666666666666667,3
87608,Holiday Inn Chicago - Mart Plaza,4.0,1
114577,Fairmont Chicago Millennium Park,5.7,10
225108,W Chicago Lakeshore,3.4545454545454546,11
87590,Hilton Chicago,4.9,10
217510,Club Quarters Chicago - Central Loop,3.3076923076923075,13
87659,The Westin Chicago River North,4.666666666666667,9
90957,Hotel Sax Chicago,6.166666666666667,6
87637,Renaissance Chicago Hotel,4.5,8
220240,W Chicago - City Center,3.5,4
114604,BEST WESTERN PLUS River North Chicago Downtown Hotel,3.6,5
87602,Embassy Suites Hotel Chicago Downtown,7.0,6
87571,Days Inn Chicago,4.25,4
87648,Millennium Knickerbocker Hotel Chicago,5.4,10
87645,The Drake,3.6666666666666665,12
87620,InterContinental Chicago,3.75,4
90985,Hotel Allegro Chicago - a Kimpton Hotel,6.588235294117647,17
111500,Omni Chicago Hotel,6.857142857142857,7
304277,Carlton Inn Midway,21.0,1
87640,The Willows,1.0,1
286793,Courtyard Chicago Downtown/Magnificent Mile,5.0,1
90975,The Silversmith Hotel & Suites,4.75,4
87632,Park Hyatt Chicago,5.0,3
87617,Hyatt Regency Chicago,4.5,10
111486,Hampton Inn & Suites Chicago - Downtown,3.8,5
111507,The Ritz-Carlton Chicago (A Four Seasons Hotel),5.0,1
111490,Hotel Burnham - a Kimpton Hotel,6.0,12
111501,The Palmer House Hilton,4.545454545454546,33
114595,"MileNorth, A Chicago Hotel",6.296296296296297,27
225105,The Peninsula Chicago,3.5,2
114591,Four Seasons Hotel Chicago,3.0,2
87654,The Talbott Hotel,4.875,8
111492,Hotel Monaco Chicago - a Kimpton Hotel,5.636363636363637,11
87638,Sheraton Chicago Hotel and Towers,3.789473684210526,19
236299,Sofitel Chicago Water Tower,7.0,14
