Hotel ID,Hotel Name,Total Rating,Overall Customers
100610,Marriott Seattle Sea-Tac Airport,5.0,2
115754,SpringHill Suites Seattle Downtown/South Lake Union,2.5,4
123036,Hampton Inn & Suites Seattle Downtown,9.666666666666666,3
122985,La Hacienda Motel,1.0,1
122994,Everspring Inn,1.0,1
100513,Continental Plaza Seattle,4.0,1
224833,Commodore Hotel,1.1428571428571428,7
100531,Executive Extended Stay Suites and Hotel,4.5,2
100506,Hotel Seattle,3.3333333333333335,3
100617,Hilton Seattle Airport & Conference Center,5.0,1
72586,BEST WESTERN PLUS Executive Inn,4.555555555555555,9
124269,Clarion Hotel Seattle Airport,2.0,3
100584,Seattle Pacific Hotel,3.0,6
224835,Days Inn Town Center Hotel Seattle,3.0,2
112434,Eighth Avenue Inn,1.0,3
100508,Kings Inn,2.4,10
122998,The College Inn,7.5,4
224860,Travelodge Sea-Tac Airport North,1.0,1
100554,Renaissance Seattle Hotel,6.7,10
100560,Hilton Seattle,2.5,6
123004,Holiday Inn Express Seattle City Center,3.9166666666666665,12
100505,Warwick Seattle Hotel,8.5,4
100561,Quality Inn & Suites Seattle,2.0,6
100597,Doubletree by Hilton Seattle Airport,3.6666666666666665,3
100574,Travelodge Seattle by the Space Needle,4.285714285714286,7
100602,Embassy Suites Seattle - Tacoma International Airport,5.0,1
100586,W Seattle,3.4444444444444446,9
217795,Coast Gateway Hotel,5.0,1
100537,Inn at Queen Anne,3.769230769230769,13
100619,Radisson Hotel Seattle Airport,2.75,4
100547,Executive Hotel Pacific,4.2105263157894735,19
224843,La Quinta Inn & Suites Seattle Sea-Tac,4.0,1
100564,Sixth Avenue Inn,5.0,5
123003,Homewood Suites Seattle-Downtown,5.454545454545454,11
239892,Homewood Suites Seattle - Tacoma Airport / Tukwila,5.0,3
123039,DoubleTree Suites by Hilton Hotel Seattle Airport - Southcenter,3.0,1
112437,Red Lion Hotel Seattle Airport,3.0,1
275251,Red Lion Hotel on Fifth Avenue Seattle,2.0,1
100540,MarQueen Hotel,3.533333333333333,15
123021,Silver Cloud Inn - University,5.0,2
258824,Mediterranean Inn,5.076923076923077,13
100589,Roosevelt Hotel,3.5,10
100509,Ace Hotel,4.230769230769231,13
217807,La Quinta Inn & Suites Seattle Downtown,3.0,2
268228,Marriott Waterfront Seattle,7.3076923076923075,13
100527,Crowne Plaza Seattle Downtown Area,3.5,6
224856,Residence Inn Seattle Downtown/Lake Union,4.0,1
100544,Moore Hotel,7.0,11
112429,The Paramount Hotel,3.8333333333333335,6
252350,Watertown Hotel Seattle,11.333333333333334,6
115755,"Hotel Deca, Seattle",6.0,7
72572,BEST WESTERN PLUS Pioneer Square Hotel,6.1,10
100581,University Inn Seattle,4.5,2
123022,Silver Cloud Inn - Lake Union,7.833333333333333,6
100569,The Sorrento Hotel,13.0,2
100585,Hotel Vintage Park - a Kimpton Hotel,6.6,15
100570,The Westin Seattle,7.166666666666667,12
224783,Grand Hyatt Seattle,9.947368421052632,19
112412,Alexis Hotel - a Kimpton Hotel,7.714285714285714,7
100567,The Edgewater Hotel Seattle,3.125,8
100542,Mayflower Park,4.0,13
100504,Hotel Monaco Seattle - a Kimpton Hotel,7.166666666666667,12
281828,The Fairmont Olympic Seattle,4.333333333333333,6
100562,Sheraton Seattle Hotel,4.75,12
100507,Inn at the Market,4.8,5
