Hotel ID,Hotel Name,Total Rating,Overall Customers
246937,The Blackwell,25.692307692307693,39
223509,Holiday Inn Express & Suites Columbus Southeast,19.11111111111111,9
101657,Extended Stay America - Columbus - Worthington,6.5,4
101647,Extended Stay America - Columbus - East,4.0,2
223749,Hampton Inn Columbus Hamilton,19.2,5
223730,TownePlace Suites Columbus Worthington,19.416666666666668,12
1628583,Sawmill Extended Stay,35.0,1
95241,Motel 6 Columbus,25.333333333333332,6
612540,BEST WESTERN PLUS Port Columbus,21.53846153846154,13
223753,Country Inn & Suites Columbus-West,22.083333333333332,12
101660,Econo Lodge Brice Road,11.166666666666666,6
240079,Motel 6 Columbus North,14.714285714285714,7
101668,Knights Inn Columbus North,8.0,1
95284,Red Roof Inn Columbus Ohio State University,18.333333333333332,24
223764,Americas Best Value Inn-Columbus/West,22.666666666666668,3
1206195,Neil Avenue Bed and Breakfast,23.5,2
1225684,La Quinta Inn East Hotel,21.0,2
240082,Motel 6 Columbus Worthington,19.666666666666668,6
223732,InTown Suites Columbus / Dublin,10.666666666666666,3
101661,Courtyard by Marriott Columbus Airport,18.5,18
101670,Knights Inn Columbus East,16.5,4
223734,InTown Suites Columbus East,29.0,1
222972,InTown Suites Columbus North,24.5,2
95240,Howard Johnson Inn Columbus,9.6,10
95236,North Suites,10.1,10
90214,Rodeway Inn North,12.285714285714286,14
223767,Americas Best Value Inn - Columbus / North,11.25,8
223762,Americas Best Value Inn Columbus Airport,14.5,18
223763,Cross Country Inn Continent,7.0,2
95271,Hometown Inn Columbus,6.0,2
101635,Hamilton Plaza Hotel,8.333333333333334,3
101757,Clarion Hotel & Suites Conference Center,13.085714285714285,35
1191338,Holiday Inn -Ohio State University Area,5.0,1
240078,Motel 6 Columbus East,7.25,4
101665,Knights Inn Downtown Columbus,9.615384615384615,13
101649,Columbus Inn & Suites,6.954545454545454,22
223772,Extended Stay America - Columbus - North,20.6,10
95264,Days Inn Columbus North,12.78125,32
114725,German Village Inn,13.818181818181818,11
95275,University Plaza Hotel and Conference Center,15.142857142857142,7
223766,Varsity Inn,15.764705882352942,17
101643,Wingate by Wyndham Columbus,17.761904761904763,21
223759,Country Inn & Suites Columbus - North,16.46875,32
223737,Residence Inn Columbus Worthington,13.76923076923077,13
122230,Ramada Plaza Hotel & Conference Center,21.733333333333334,15
95285,Hawthorn Suites by Wyndham Airport Columbus East,18.566666666666666,30
90216,East Suites Hotel Columbus,10.5,18
281206,Motel 6 Columbus OSU,9.333333333333334,3
95263,Ramada Inn East Airport,15.6,10
223765,Varsity Inn OSU North,15.105263157894736,19
123895,Quality Inn & Suites Columbus,10.25,4
101640,Hampton Inn Columbus West,20.444444444444443,18
217653,"Hawthorn Suites by Wyndham Columbus, Keim Circle",14.4,15
101659,Extended Stay America - Columbus - Easton,18.666666666666668,12
123898,Super 8 Motel Columbus,7.0,13
101646,TownePlace Suites Columbus Airport Gahanna,21.571428571428573,14
124435,Comfort Suites - Columbus / Keim Circle,21.928571428571427,14
223775,Fairfield Inn & Suites Columbus OSU,23.36842105263158,38
101636,Comfort Suites Airport,21.782608695652176,23
101651,Red Roof Inn & Suites Columbus - W. Broad,18.875,8
101641,Hampton Inn Columbus Airport,21.17391304347826,23
223756,Country Inn & Suites Columbus Airport,18.785714285714285,14
75212,BEST WESTERN PLUS Columbus North,14.681818181818182,44
101639,Red Roof Inn Columbus - Ohio State Fairgrounds,22.333333333333332,3
123896,Hilton Garden Inn Columbus-University Area,26.625,16
95246,Courtyard by Marriott Columbus West,25.666666666666668,15
626349,Candlewood Suites Polaris,21.1,10
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,22.607142857142858,28
1546086,Holiday Inn Express Hotel & Suites Columbus University Area - OSU,28.4,15
223755,Country Inn & Suites Columbus Airport East,21.625,16
95235,Days Inn Columbus Fairgrounds,8.833333333333334,24
95261,Holiday Inn Columbus Downtown Capital Square,17.456521739130434,46
223728,Extended Stay Deluxe - Columbus - Polaris,21.454545454545453,11
95242,Baymont Inn Columbus North,12.947368421052632,19
223760,Courtyard by Marriott Columbus Downtown,20.0,33
95250,Homewood Suites by Hilton Columbus / Worthington,24.157894736842106,19
95230,Courtyard by Marriott Columbus Worthington,23.2,15
249788,Holiday Inn Express Ohio State Fair/Expo Center,19.235294117647058,17
75221,Comfort Inn & Suites,20.941176470588236,17
896855,Hyatt Place Columbus/Worthington,25.15625,32
217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,20.125,72
95288,Sheraton Suites Columbus,20.90721649484536,97
223742,Days Inn & Suites Worthington,20.333333333333332,15
75206,BEST WESTERN Suites,23.3,20
95277,Red Roof Inn Columbus West,28.4,10
95286,"Hawthorn Suites by Wyndham Columbus, Zumstein Dr",16.863636363636363,22
1238209,Holiday Inn Columbus-Hilliard,27.6,10
223223,Staybridge Suites Columbus Airport,20.82758620689655,29
223726,Super 8 Columbus West,11.7,10
95258,Crowne Plaza Columbus North,20.121951219512194,82
101653,Fort Rapids Indoor Waterpark Resort,17.12558139534884,215
250903,Hilton Garden Inn Columbus Airport,20.93103448275862,29
1382787,Fairfield Inn and Suites by Marriott Columbus West,31.0,1
95249,Doubletree Hotel Columbus Worthington,22.896551724137932,29
95253,Hyatt Regency Columbus,16.625,72
95265,Columbus Airport Marriott,20.45945945945946,37
675842,Hampton Inn & Suites Columbus-Easton,26.91111111111111,45
95289,Ramada Columbus North,23.266666666666666,30
122237,Red Roof Inn Columbus Downtown - Convention Center,23.85185185185185,54
95247,Crowne Plaza Columbus Downtown,21.81578947368421,76
122229,Renaissance Columbus Downtown Hotel,21.494949494949495,99
95269,Comfort Inn North,13.807692307692308,26
281777,Comfort Suites - Columbus / Clara St,15.76923076923077,13
95293,The Westin Columbus,23.318681318681318,91
223735,Residence Inn Columbus Easton,22.8,15
223724,Comfort Inn North Polaris,25.25,24
278081,Courtyard Columbus Easton,24.074074074074073,27
223771,La Quinta Inn & Suites Columbus West - Hilliard,15.4,5
223747,Homewood Suites by Hilton Columbus Airport,21.19047619047619,21
268516,Baymont Inn and Suites Columbus at Rickenbacker,21.181818181818183,11
1479195,Four Points by Sheraton Columbus Ohio Airport,29.677419354838708,31
1200977,Cambria Suites,29.904761904761905,42
258165,Drury Inn & Suites Columbus Convention Center,23.456521739130434,46
518306,Hilton Garden Inn Columbus/Polaris,23.580645161290324,31
223739,Worthington Red Roof Inn,18.5,2
95238,Embassy Suites Hotel Columbus,22.71794871794872,39
223748,Hilton Columbus at Easton,21.678571428571427,56
1588429,Comfort Suites East Broad at 270,30.666666666666668,6
878115,Hampton Inn & Suites Columbus Polaris,29.155555555555555,45
819653,Residence Inn Columbus Downtown,26.066666666666666,30
1157336,Hilton Columbus/Polaris,24.473684210526315,38
1415082,Embassy Suites Columbus - Airport,30.363636363636363,33
1804801,Hyatt Place Columbus/OSU,30.22222222222222,9
223750,Hampton Inn and Suites Columbus Downtown,23.642857142857142,42
