Hotel ID,Hotel Name,Total Rating,Overall Customers
83095,Rockies Inn,8.25,4
82992,Days Inn Central,5.166666666666667,6
83044,Howard Johnson Inn Denver,3.5,2
85353,Drury Inn Denver East,14.909090909090908,11
119939,Motel 5,1.0,1
119949,Budget Inn Motel,3.5,2
82976,Super 8 Denver Stapleton,16.333333333333332,3
85375,Comfort Inn Denver International Airport,8.875,8
223852,TownePlace Suites Denver Downtown,17.6,5
543093,Courtyard by Marriott Denver Cherry Creek,10.375,8
119929,Super 8 Denver / I25 & 58th Ave.,8.5,2
119981,Homestead Studio Suites - Denver - Tech Center - North,4.0,2
85638,Denver Stapleton Hotel,3.25,4
114326,Loews Denver Hotel,10.588235294117647,17
83091,The Burnsley All Suite Hotel,11.28,25
85343,Denver's Best Inn and Suites,13.0,8
119975,Jet Hotel,9.0,12
85330,Comfort Inn & Suites,14.0,1
119928,Ramada Denver Midtown,11.0,2
111562,Renaissance Denver Hotel,9.555555555555555,18
85346,La Quinta Inn Denver Cherry Creek,16.333333333333332,3
120036,Notel Motel,5.6,5
85341,Comfort Inn Central,5.0,1
119941,Crowne Plaza Hotel Denver,7.642857142857143,14
83060,Four Points by Sheraton Denver Southeast,16.88235294117647,17
82982,Comfort Inn Downtown,9.55,20
85366,Quality Inn Denver,6.333333333333333,3
82984,Courtyard by Marriott Denver Stapleton,9.0,1
85344,La Quinta Inn Denver Central,8.5,6
83023,Fairfield Inn Denver Cherry Creek,12.428571428571429,7
85359,Comfort Suites Denver International Airport,14.0,3
85357,Days Inn & Suites DIA-Denver International Airport,15.333333333333334,3
81023,The Timbers Hotel,12.8,20
225090,Microtel Inn by Wyndham Denver,16.0,2
83014,Embassy Suites Denver - Southeast,10.875,8
82960,Holiday Inn Select Denver - Cherry Creek,7.409090909090909,22
120072,Hampton Inn Denver - International Airport,8.5,2
120083,Denver Marriott Tech Center,9.285714285714286,7
270508,Hotel VQ,6.782608695652174,23
85325,Ramada Inn Downtown Denver,10.0,14
225093,Red Lion Hotel Denver Central,11.0,16
83057,Denver Marriott City Center,9.0,14
530656,Inn at Cherry Creek,16.833333333333332,6
1190033,Hilton Garden Inn Denver Tech Center,11.555555555555555,18
125845,Embassy Suites Hotel Denver - Aurora,9.125,8
120029,Residence Inn Denver Downtown,14.818181818181818,22
83081,Quality Inn & Suites Denver International Airport,6.0,2
83038,Ramada Plaza Denver Central Hotel,5.2,5
85372,Courtyard by Marriott Denver Airport,8.333333333333334,6
1751673,Super 8 Denver - Airport,6.0,5
85332,Doubletree by Hilton Hotel Denver,13.5,10
83051,Hyatt Regency Denver Tech Center,12.058823529411764,17
85352,Hampton Inn & Suites Denver Tech Center,18.0,4
258669,Embassy Suites Denver-International Airport,14.3,10
119992,Fairfield Inn Denver Airport,17.571428571428573,7
578192,Hampton Inn & Suites Denver Downtown,20.77777777777778,9
83099,The Westin Denver Downtown,10.975609756097562,41
83046,Grand Hyatt Denver Downtown,12.818181818181818,33
85368,La Quinta Inn & Suites Denver Airport DIA,12.0,6
83093,The Oxford Hotel,13.148148148148149,27
119993,Courtyard by Marriott Denver Downtown,16.8,10
83097,Warwick Denver Hotel,8.78125,32
578190,Residence Inn Denver City Center,25.0,2
120056,Hotel Monaco Denver - a Kimpton Hotel,10.866666666666667,45
83088,The Brown Palace Hotel and Spa,11.652173913043478,23
573340,Hyatt Regency Denver At Colorado Convention Center,14.333333333333334,9
308759,JW Marriott Denver Cherry Creek,15.61111111111111,18
120058,Hotel Teatro,11.846153846153847,39
530585,"Country Inn & Suites By Carlson, Denver International Airport",17.75,4
83040,Magnolia Hotel Denver,12.857142857142858,28
