Hotel ID,Hotel Name,Total Rating,Overall Customers
108038,Hilton University of Houston,4.0,2
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,9.25,4
107915,Drury Inn & Suites Houston Near The Galleria,24.0,1
223137,La Quinta Inn Houston Northwest,4.0,1
108057,Residence Inn Houston Clear Lake,5.0,1
107924,Courtyard by Marriott Houston Westchase,19.0,1
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,8.0,1
99081,Crowne Plaza Houston - Brookhollow,2.5,2
98952,Four Seasons Hotel Houston,9.76923076923077,13
223164,Homewood Suites by Hilton Houston - Clear Lake,22.5,2
283873,"Hotel Icon, Autograph Collection",12.56,25
108149,Drury Inn & Suites Houston Hobby,16.75,4
256700,Sun Suites of Hobby / Clearlake,4.0,1
223149,Hampton Inn Houston Hobby Airport,18.5,2
107884,Americas Best Value Inn & Suites - Houston/Northwest,8.5,6
223148,Baymont Inn & Suites Houston,11.0,2
98940,Houston Inn and Suites,1.0,1
99132,Hilton Houston Westchase,14.5,6
98976,Hotel Preet Northwest,1.0,1
266125,Hobby Inn and Suites,3.5,2
223135,Travelodge Houston - Intercontinental,2.0,1
244313,Motel 6 Houston - Westchase,18.0,1
73463,Downtowner Inn and Suites,21.0,1
98972,Ramada Inn North Houston,2.0,1
142353,Econo Lodge Medical Center,6.5,2
247110,Quality Suites Bush/IAH Airport West,1.0,1
223156,Comfort Inn Houston,6.0,1
277895,Howard Johnson Clearlake,2.0,1
98962,Holiday Inn Houston Near The Galleria,2.0,1
141902,Days Inn West Houston,6.0,2
107903,Howard Johnson Express Inn - Houston,4.0,2
73470,Greenway Inn & Suites,4.333333333333333,3
254040,Moonlight Inn and Suites,1.0,1
239848,Americas Best Value Inn & Suites-Houston North,5.0,1
217739,Wellesley Suites Memorial,2.0,3
108029,Houston Days Inn Downtown / Medical Center,5.0,1
98970,Brentwood Inn,2.0,2
223194,Scottish Inn & Suites,1.0,1
107911,Hotel 31 Houston Near the Galleria,7.25,8
292556,Holiday Inn Express Houston - Hobby Airport,6.0,3
98981,Holiday Inn Houston Southwest-Hwy 59S @ Beltway 8,7.0,1
108047,Rodeway Inn & Suites Hwy 290 NW,19.0,1
99101,Sheraton North Houston at George Bush Intercontinental,11.166666666666666,6
223157,Holiday Inn Express Northwest / Brookhollow,5.0,1
559409,Regency Suites Bush Airport,20.0,2
108060,Candlewood Suites Houston/Clear Lake,14.0,2
258875,Comfort Suites,12.5,2
223140,Comfort Suites,23.0,1
223176,Residence Inn Intercontinental Airport at Greenspoint,5.0,1
99073,Comfort Inn & Suites Greenway Plaza/SW Freeway,2.0,1
107812,BEST WESTERN Windsor Suites,16.0,1
107867,Residence Inn Houston Westchase,4.0,1
256702,Sun Suites Of Westchase,3.0,1
217741,Red Roof Inn Houston IAH Airport,10.5,2
108150,Courtyard by Marriott Houston Hobby Airport,2.75,4
223136,La Quinta Inn & Suites Houston Southwest,12.0,1
223169,Microtel Inn & Suites by Wyndham Houston,6.0,2
99015,La Quinta Inn Houston Cy-Fair,1.0,1
109748,Residence Inn Houston Medical Center/Reliant Park,11.166666666666666,6
109742,Hampton Inn Houston Northwest,1.0,1
99014,Days Inn Houston,12.0,2
107859,Comfort Suites - Near the Galleria,6.0,2
223154,Hampton Inn Houston - Near The Galleria,4.0,2
98999,Courtyard Houston I-10 West/Energy Corridor,23.0,1
223143,Courtyard Houston Intercontinental Airport,2.0,1
223150,"Hampton Inn Houston - I-10W, Energy Cor",14.5,2
