Hotel ID,Hotel Name,Total Rating,Overall Customers
249713,Holiday Inn Univ of Memphis,4.0,1
111855,Embassy Suites Memphis,5.0,2
672520,Hyatt Place Memphis Primacy Parkway,4.333333333333333,3
105192,Sleep Inn at Court Square,3.25,4
105281,Comfort Inn Downtown,7.333333333333333,6
114850,The Peabody Memphis,2.8461538461538463,13
223886,SpringHill Suites Memphis Downtown,4.5,2
223752,Days Inn Memphis at Graceland,3.0,4
105177,Hampton Inn Memphis - Southwind,4.0,1
98019,Motel 6 Memphis - Graceland,3.0,2
105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,5.0,1
223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,4.0,1
122561,Motel 6 Memphis East,3.0,1
122494,American Inn Memphis,1.0,1
98037,Airport Inn,1.0,1
98058,Memphis Marriott,4.0,1
98034,Holiday Inn Express - Medical Center Midtown,4.0,1
98071,Motel 6 Memphis Downtown,1.0,1
98018,Motel 6,1.0,2
98077,Residence Inn Memphis East,2.0,1
122542,Alberts Cabins,3.0,1
98048,Artisan Hotel Memphis,2.0,1
105191,Sleep Inn - Memphis / American Way,5.0,1
111860,Homestead Studio Suites - Memphis - Poplar Avenue,5.0,1
146517,DoubleTree by Hilton Hotel Memphis,1.0,1
295791,Hilton Memphis,1.5,2
220079,Holiday Inn Select Memphis - Downtown (Beale Street),3.6666666666666665,3
224306,Homewood Suites by Hilton Memphis-Poplar,4.0,1
105180,Hampton Inn & Suites Memphis-Shady Grove Road,4.5,2
105238,Staybridge Suites Memphis - Poplar Ave East,5.0,1
125626,Elvis Presley's Heartbreak Hotel,3.1,10
223774,Madison Hotel,4.636363636363637,11
223103,Hampton Inn & Suites Memphis - Beale Street,5.0,1
