Hotel ID,Hotel Name,Total Rating,Overall Customers
83044,Howard Johnson Inn Denver,3.5,2
82992,Days Inn Central,4.333333333333333,3
85353,Drury Inn Denver East,13.25,4
119939,Motel 5,1.0,1
119949,Budget Inn Motel,3.5,2
223852,TownePlace Suites Denver Downtown,23.0,1
85375,Comfort Inn Denver International Airport,2.3333333333333335,3
543093,Courtyard by Marriott Denver Cherry Creek,12.0,5
85638,Denver Stapleton Hotel,3.5,2
114326,Loews Denver Hotel,5.3,10
83091,The Burnsley All Suite Hotel,7.230769230769231,13
85343,Denver's Best Inn and Suites,15.0,2
119975,Jet Hotel,4.333333333333333,3
85346,La Quinta Inn Denver Cherry Creek,12.0,1
111562,Renaissance Denver Hotel,6.25,8
120036,Notel Motel,3.75,4
85341,Comfort Inn Central,5.0,1
119941,Crowne Plaza Hotel Denver,7.375,8
83060,Four Points by Sheraton Denver Southeast,2.5,2
82982,Comfort Inn Downtown,7.833333333333333,6
85366,Quality Inn Denver,1.5,2
82984,Courtyard by Marriott Denver Stapleton,9.0,1
85344,La Quinta Inn Denver Central,5.0,2
85359,Comfort Suites Denver International Airport,10.5,2
83023,Fairfield Inn Denver Cherry Creek,7.333333333333333,3
85357,Days Inn & Suites DIA-Denver International Airport,19.5,2
83014,Embassy Suites Denver - Southeast,11.25,4
82960,Holiday Inn Select Denver - Cherry Creek,4.666666666666667,15
120083,Denver Marriott Tech Center,6.0,4
270508,Hotel VQ,4.214285714285714,14
85325,Ramada Inn Downtown Denver,6.0,6
83057,Denver Marriott City Center,3.6666666666666665,6
225093,Red Lion Hotel Denver Central,7.0,2
1190033,Hilton Garden Inn Denver Tech Center,8.444444444444445,9
125845,Embassy Suites Hotel Denver - Aurora,3.6,5
83038,Ramada Plaza Denver Central Hotel,3.6666666666666665,3
120029,Residence Inn Denver Downtown,12.555555555555555,9
85372,Courtyard by Marriott Denver Airport,4.0,2
1751673,Super 8 Denver - Airport,1.0,1
85332,Doubletree by Hilton Hotel Denver,10.2,5
83051,Hyatt Regency Denver Tech Center,8.88888888888889,9
258669,Embassy Suites Denver-International Airport,13.8,5
119992,Fairfield Inn Denver Airport,14.666666666666666,3
83099,The Westin Denver Downtown,6.9411764705882355,17
83046,Grand Hyatt Denver Downtown,10.25,16
85368,La Quinta Inn & Suites Denver Airport DIA,5.0,1
83093,The Oxford Hotel,11.8,15
119993,Courtyard by Marriott Denver Downtown,6.666666666666667,3
83097,Warwick Denver Hotel,6.611111111111111,18
120056,Hotel Monaco Denver - a Kimpton Hotel,5.458333333333333,24
83088,The Brown Palace Hotel and Spa,8.333333333333334,9
308759,JW Marriott Denver Cherry Creek,13.3,10
120058,Hotel Teatro,5.5,18
83040,Magnolia Hotel Denver,3.4444444444444446,9
