Hotel ID,Hotel Name,Total Rating,Overall Customers
246937,The Blackwell,20.125,16
223509,Holiday Inn Express & Suites Columbus Southeast,3.3333333333333335,3
101657,Extended Stay America - Columbus - Worthington,3.3333333333333335,3
101647,Extended Stay America - Columbus - East,1.0,1
223749,Hampton Inn Columbus Hamilton,15.5,2
223730,TownePlace Suites Columbus Worthington,20.0,4
612540,BEST WESTERN PLUS Port Columbus,4.0,2
101660,Econo Lodge Brice Road,12.5,2
223753,Country Inn & Suites Columbus-West,19.666666666666668,3
95284,Red Roof Inn Columbus Ohio State University,14.8,5
95240,Howard Johnson Inn Columbus,10.666666666666666,3
90214,Rodeway Inn North,11.285714285714286,7
95236,North Suites,11.333333333333334,3
101661,Courtyard by Marriott Columbus Airport,14.833333333333334,6
223767,Americas Best Value Inn - Columbus / North,5.0,2
223763,Cross Country Inn Continent,1.0,1
95271,Hometown Inn Columbus,6.0,2
101635,Hamilton Plaza Hotel,8.333333333333334,3
223762,Americas Best Value Inn Columbus Airport,12.666666666666666,9
101665,Knights Inn Downtown Columbus,2.0,6
101649,Columbus Inn & Suites,3.6666666666666665,9
223772,Extended Stay America - Columbus - North,17.25,4
114725,German Village Inn,5.333333333333333,3
223766,Varsity Inn,14.428571428571429,7
95275,University Plaza Hotel and Conference Center,18.0,4
223737,Residence Inn Columbus Worthington,12.428571428571429,7
101757,Clarion Hotel & Suites Conference Center,8.5,12
95264,Days Inn Columbus North,9.846153846153847,13
281206,Motel 6 Columbus OSU,9.5,2
101643,Wingate by Wyndham Columbus,10.0,7
95263,Ramada Inn East Airport,10.0,5
223759,Country Inn & Suites Columbus - North,15.846153846153847,13
122230,Ramada Plaza Hotel & Conference Center,10.0,1
123895,Quality Inn & Suites Columbus,1.5,2
223765,Varsity Inn OSU North,9.375,8
101640,Hampton Inn Columbus West,18.272727272727273,11
95285,Hawthorn Suites by Wyndham Airport Columbus East,11.5,4
217653,"Hawthorn Suites by Wyndham Columbus, Keim Circle",10.285714285714286,7
101659,Extended Stay America - Columbus - Easton,11.2,5
101646,TownePlace Suites Columbus Airport Gahanna,18.75,8
90216,East Suites Hotel Columbus,6.2,5
101651,Red Roof Inn & Suites Columbus - W. Broad,11.5,2
123898,Super 8 Motel Columbus,9.25,4
223756,Country Inn & Suites Columbus Airport,19.0,3
101636,Comfort Suites Airport,15.5,8
101641,Hampton Inn Columbus Airport,16.272727272727273,11
223775,Fairfield Inn & Suites Columbus OSU,18.88888888888889,18
123896,Hilton Garden Inn Columbus-University Area,27.0,2
626349,Candlewood Suites Polaris,17.0,3
95246,Courtyard by Marriott Columbus West,27.2,5
75212,BEST WESTERN PLUS Columbus North,10.384615384615385,13
124435,Comfort Suites - Columbus / Keim Circle,18.0,1
240076,BEST WESTERN PLUS Franklin Park Suites - Polaris,16.692307692307693,13
223755,Country Inn & Suites Columbus Airport East,17.0,4
223728,Extended Stay Deluxe - Columbus - Polaris,5.0,1
95235,Days Inn Columbus Fairgrounds,7.714285714285714,7
95261,Holiday Inn Columbus Downtown Capital Square,8.117647058823529,17
95250,Homewood Suites by Hilton Columbus / Worthington,20.125,8
95230,Courtyard by Marriott Columbus Worthington,21.333333333333332,6
223760,Courtyard by Marriott Columbus Downtown,9.11111111111111,9
95242,Baymont Inn Columbus North,8.0,3
75221,Comfort Inn & Suites,17.166666666666668,6
249788,Holiday Inn Express Ohio State Fair/Expo Center,10.0,2
896855,Hyatt Place Columbus/Worthington,12.0,1
95277,Red Roof Inn Columbus West,3.0,1
75206,BEST WESTERN Suites,19.0,7
217654,DoubleTree Suites by Hilton Hotel Columbus Downtown,15.857142857142858,28
223223,Staybridge Suites Columbus Airport,15.866666666666667,15
95288,Sheraton Suites Columbus,15.853658536585366,41
223726,Super 8 Columbus West,4.0,1
250903,Hilton Garden Inn Columbus Airport,18.3,10
95265,Columbus Airport Marriott,14.0,10
95289,Ramada Columbus North,13.0,5
95258,Crowne Plaza Columbus North,14.157894736842104,19
95249,Doubletree Hotel Columbus Worthington,21.75,4
675842,Hampton Inn & Suites Columbus-Easton,24.0,1
95253,Hyatt Regency Columbus,14.714285714285714,35
281777,Comfort Suites - Columbus / Clara St,14.8,5
122237,Red Roof Inn Columbus Downtown - Convention Center,11.142857142857142,7
95269,Comfort Inn North,5.857142857142857,7
95247,Crowne Plaza Columbus Downtown,16.94736842105263,19
122229,Renaissance Columbus Downtown Hotel,17.583333333333332,36
223735,Residence Inn Columbus Easton,23.25,8
223771,La Quinta Inn & Suites Columbus West - Hilliard,5.0,3
278081,Courtyard Columbus Easton,19.75,8
223724,Comfort Inn North Polaris,20.5,2
268516,Baymont Inn and Suites Columbus at Rickenbacker,22.0,2
223747,Homewood Suites by Hilton Columbus Airport,20.1,10
95293,The Westin Columbus,15.523809523809524,21
223739,Worthington Red Roof Inn,21.0,1
101653,Fort Rapids Indoor Waterpark Resort,14.232558139534884,43
518306,Hilton Garden Inn Columbus/Polaris,21.357142857142858,14
95238,Embassy Suites Hotel Columbus,15.777777777777779,9
223748,Hilton Columbus at Easton,16.666666666666668,15
258165,Drury Inn & Suites Columbus Convention Center,15.625,16
223750,Hampton Inn and Suites Columbus Downtown,20.2,15
