Hotel ID,Hotel Name,Total Rating,Overall Customers
73943,Royal Palms Resort and Spa,22.666666666666668,174
224757,Red Roof Inn Phoenix West,19.125,8
642935,LaQuinta Inn,5.0,1
74805,Fairfield Inn Phoenix North,17.53846153846154,13
244405,Motel 6 Phoenix West,10.0,6
73977,Budget Lodge of Phoenix,10.5,12
565626,Traveler's Inn,17.0,5
119366,Budget Suites of America,7.25,4
73869,Motel 6 Phoenix - Black Canyon,5.6,5
118790,Quality Inn & Suites Downtown,25.0,2
75662,Holiday Inn Express Phoenix Airport (University Drive),22.12,50
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,20.142857142857142,7
74652,Extended Stay America - Phoenix - Midtown,19.125,8
73727,Grace Inn Phoenix,14.482758620689655,29
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,8.0,3
73743,A Victory Inn & Suites Phoenix North,13.444444444444445,18
1036415,Premier Inns,13.5,4
248145,Sierra Grande Suites,3.0,1
1176612,Comfort Inn Phoenix,20.36842105263158,19
74724,Travel Inn,3.857142857142857,7
73712,Super 8 Phoenix,19.5,20
74561,Sterling International Hotels,3.6,15
73768,Days Inn I-17 & Thomas,10.0,21
118794,Las Palmas Inn,6.0,1
74732,Knights Inn Fairground-Phoenix,13.2,5
74687,Ramada Inn Phoenix Downtown,5.285714285714286,7
73760,Days Inn Camelback Phoenix and Conference Center,19.0,3
217199,Homestead Phoenix Metro,13.875,8
73882,Motel 6 Phoenix North - Bell Road,7.428571428571429,7
1160848,Holiday Inn Phoenix-Midtown,8.0,6
224749,Oakwood At Paradise Lakes,14.0,2
119337,Super 7 Motel,1.0,1
118793,Log Cabin Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
119314,Mainstay Suites Metro Center,15.75,8
73884,Motel 6 Phoenix - Northern Avenue,10.0,1
74739,Travelodge Phoenix (50th Ave.),5.5,2
239801,Studio 6 Phoenix - Deer Valley,13.0,7
74410,Budget Inn,11.0,5
243927,Motel 6 Phoenix Airport,12.666666666666666,12
74720,Days Inn Phoenix,13.625,8
74657,Extended Stay America - Phoenix - Metro Center,8.142857142857142,7
112175,Extended Stay America - Phoenix - Biltmore,16.363636363636363,11
73982,Days Inn Phoenix Airport,8.0,1
73718,Lexington Hotel Central Phoenix,15.435897435897436,39
73937,Residence Inn Phoenix,15.181818181818182,11
73910,Travel Inn Airport,5.25,4
74936,Extended Stay America - Phoenix - Chandler,17.6,5
74816,Crossland Economy Studios - Phoenix - West,18.666666666666668,6
73773,Americas Best Value Inn Phoenix/I-10 West,6.0,5
119327,Extended Stay America - Phoenix - Deer Valley,14.4,5
74744,Super 8 Motel - Phoenix West I-10,16.25,4
248358,Anchorage Point,15.5,2
73825,Holiday Inn Phoenix-West,14.3125,16
223861,SpringHill Suites Phoenix Downtown,22.357142857142858,28
73859,La Quinta Inn Phoenix Thomas Road,11.714285714285714,7
74752,Phoenix Metro North Super 8 Motel,16.666666666666668,15
