Hotel ID,Hotel Name,Total Rating,Overall Customers
249713,Holiday Inn Univ of Memphis,17.09090909090909,11
105190,SpringHill Suites Memphis East / Galleria,9.8,5
225338,La Quinta Inn & Suites Memphis East-Sycamore View,17.125,8
105192,Sleep Inn at Court Square,16.919354838709676,62
111855,Embassy Suites Memphis,15.0,33
672520,Hyatt Place Memphis Primacy Parkway,17.944444444444443,18
105281,Comfort Inn Downtown,16.367521367521366,117
114850,The Peabody Memphis,12.213235294117647,136
98031,La Quinta Inn & Suites Memphis Airport Graceland,4.4,5
105236,BEST WESTERN Galleria Inn and Suites,13.8,5
105151,La Quinta Inn & Suites Memphis Primacy Parkway,18.58823529411765,17
645386,The Westin Memphis Beale Street,22.545454545454547,22
223886,SpringHill Suites Memphis Downtown,18.4468085106383,47
223752,Days Inn Memphis at Graceland,15.446428571428571,56
775880,River Inn of Harbor Town,27.8,5
105247,Extended Stay America - Memphis - Mt. Moriah,3.0,1
105177,Hampton Inn Memphis - Southwind,18.333333333333332,3
98019,Motel 6 Memphis - Graceland,5.444444444444445,9
98077,Residence Inn Memphis East,7.454545454545454,11
105256,Courtyard by Marriott Memphis East/Lenox Corporate Park,12.333333333333334,3
105194,Econo Lodge,4.666666666666667,3
656552,Value Place Memphis,28.0,1
239950,BEST WESTERN Executive Inn,12.75,12
122499,Americas Best Value Inn & Suites - Memphis / Graceland,15.333333333333334,3
239353,Colonial Inn & Suites,2.6,5
105160,Hampton Inn Memphis-Walnut Grove/Baptist Hospital East,15.428571428571429,7
224184,Extended Stay America - Memphis - Apple Tree,12.166666666666666,6
73886,BEST WESTERN Suites,5.0,2
223104,Extended Stay Deluxe - Memphis - Wolfchase Galleria,8.142857142857142,7
98037,Airport Inn,4.294117647058823,17
98036,Hampton Inn Memphis-Poplar,17.6,10
98058,Memphis Marriott,15.894736842105264,19
239352,Super 8 Memphis Airport East,9.5,2
98034,Holiday Inn Express - Medical Center Midtown,10.277777777777779,18
105198,Guest Inn,3.8,5
122561,Motel 6 Memphis East,6.5,4
243751,Super 7 Inn Memphis Graceland,18.0,1
122494,American Inn Memphis,1.0,1
98057,Studio 6 Memphis,10.375,8
98032,Americas Best Value Inn Memphis,10.625,8
98075,Americas Best Value Inn/Memphis Airport,3.5,2
98071,Motel 6 Memphis Downtown,13.5,4
98023,Knights Inn Airport,7.875,8
224185,Extended Stay America - Memphis - Sycamore View,7.5,4
98018,Motel 6,7.166666666666667,6
293232,Econo Lodge,4.5,2
98055,Quality Inn Memphis,10.75,4
105184,Fairfield Inn & Suites Memphis,20.75,8
122567,Homestead Studio Suites - Memphis - Airport,5.666666666666667,3
122584,Comfort Suites I-240 East-Airport,12.384615384615385,13
98048,Artisan Hotel Memphis,8.75,56
73880,BEST WESTERN Travelers Inn,3.0,2
122502,Travelers Inn Motel,6.0,1
122542,Alberts Cabins,4.5,2
223744,Baymont Inn & Suites Memphis East,10.6,15
105207,Days Inn IH 40 & Sycamore View,7.0,2
223770,Sleep Inn - Memphis / Old Austin Peay Hwy,9.166666666666666,12
98045,Memphis Marriott East,14.619047619047619,21
576374,Scottish Inn And Suite Memphis,19.22222222222222,9
105272,Comfort Inn Memphis,18.333333333333332,3
122583,Budgetel Inn & Suites,15.0,2
105241,Fairfield Inn Memphis I-240 & Perkins,15.333333333333334,6
105222,Super 8 Memphis / Downtown / Graceland Area,6.882352941176471,17
146517,DoubleTree by Hilton Hotel Memphis,11.162162162162161,37
105191,Sleep Inn - Memphis / American Way,15.0,3
248601,Holiday Inn Express American Way/Airport,17.227272727272727,22
111860,Homestead Studio Suites - Memphis - Poplar Avenue,14.5,2
223758,Drury Inn & Suites Memphis Northeast,16.03846153846154,26
98021,Courtyard by Marriott Memphis East/Park Avenue,15.5,4
105156,Super 8 Memphis/East/Macon Cove,8.666666666666666,3
98073,Red Roof Inn Memphis East,16.6,15
98020,Courtyard by Marriott Memphis Airport,16.63157894736842,19
1485414,Vista Inn Motel Downtown Memphis,15.11111111111111,9
258813,Homewood Suites Memphis - Hacks Cross,14.777777777777779,9
614758,BEST WESTERN PLUS Gen X Inn,20.25,16
295791,Hilton Memphis,14.152173913043478,46
105170,Memphis-I-240 at Thousand Oaks Hotel,10.0,4
268694,Holiday Inn Express Memphis Southwind,16.0,3
220079,Holiday Inn Select Memphis - Downtown (Beale Street),14.717391304347826,46
98062,DoubleTree by Hilton Memphis Downtown,15.666666666666666,3
224306,Homewood Suites by Hilton Memphis-Poplar,15.6,10
105188,Crowne Plaza Hotel Memphis,17.0,1
122581,Fairfield Inn & Suites Memphis East,18.071428571428573,14
105180,Hampton Inn & Suites Memphis-Shady Grove Road,15.7,10
125626,Elvis Presley's Heartbreak Hotel,14.806451612903226,217
105238,Staybridge Suites Memphis - Poplar Ave East,10.117647058823529,17
223774,Madison Hotel,14.25,84
98039,Memphis Marriott Downtown,15.592592592592593,54
310409,Residence Inn Memphis Downtown,20.057142857142857,70
223103,Hampton Inn & Suites Memphis - Beale Street,18.21917808219178,73
