Hotel ID,Hotel Name,Total Rating,Overall Customers
225335,Suburban Extended Stay Hotel of Charlotte - WT Harris,22.333333333333332,6
94179,Holiday Inn - Merchandise Mart,13.333333333333334,3
3461669,Charlotte Inn,4.0,2
100535,Southern Comfort Inn,1.0,1
223374,Sonesta ES Suites Charlotte,21.755555555555556,45
100607,Extended Stay America - Charlotte - Tyvola Rd.,10.25,4
94097,Value Lodge,3.5,2
1593882,Red Roof Inn Charlotte UNCC,20.142857142857142,28
121862,Homestead Lodge - Airport,25.0,2
94173,Airport Parkway Inn,13.470588235294118,17
121921,InTown Suites Charlotte Northeast,6.75,4
94184,Motel 6 Charlotte Coliseum,18.272727272727273,11
530678,Knights Inn Charlotte South,11.266666666666667,15
94108,Woodlawn Inn,14.444444444444445,9
121855,Queen City Inn,11.636363636363637,11
100633,Knights Inn Charlotte,9.4,5
656554,Charlotte Express Inn,13.076923076923077,13
100612,Econo Lodge Coliseum Area,9.25,8
100638,Brookwood Inn - Charlotte,13.285714285714286,7
121870,VanLandingham Estate,18.5,10
1905160,Arlington Suites,20.4,10
225334,Studio 6 Charlotte Airport,18.0,14
100634,Super 8 Charlotte Amusement Park,11.454545454545455,11
94168,Motel 6 Charlotte - South,12.0,7
94187,Americas Best Value Inn & Suites-Charlotte,13.0,4
94186,Red Roof Inn Charlotte Airport West,14.0,11
223210,Knights Inn Charlotte,17.0,22
100582,BEST WESTERN PLUS Charlotte/Matthews,17.27777777777778,18
100870,Sleep Inn North Lake,15.636363636363637,22
94109,City Center Inn,9.857142857142858,14
94156,Americas Best Value Inn & Suites Charlotte,9.454545454545455,11
94152,Budget Inn Charlotte,13.428571428571429,7
559397,Country Hearth Inn Charlotte,8.666666666666666,18
275354,La Casa Inn,11.7,10
94091,Golden Green Hotel,11.166666666666666,6
628474,Four Points by Sheraton Charlotte,19.67142857142857,70
94130,Crowne Plaza Charlotte,21.825396825396826,63
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",15.244897959183673,49
240570,Super 8 Charlotte Sunset Road,11.4,10
94093,Baymont Inn and Suites Charlotte-Airport,12.28,25
1533531,Econo Lodge Inn & Suites,22.0,6
262983,Royal Inn Charlotte Airport Hotel,17.0,5
1225443,Adams Mark Hotel,21.0,1
94149,Budget Inn,17.25,4
258775,Sun Suites of Charlotte,22.666666666666668,33
100601,Fairfield Inn Charlotte/Northlake,20.4,15
94132,Quality Inn - Charlotte,19.38888888888889,36
94095,Days Inn Airport North Charlotte,16.689655172413794,29
115304,Bradley Motel,7.0,1
100629,Days Inn Woodlawn Rd. Near Carowinds,15.612903225806452,31
121918,Microtel Inn by Wyndham Charlotte/University Place,16.523809523809526,21
309952,Days Inn Charlotte / Sunset Road,13.142857142857142,7
273191,Comfort Suites Airport,17.0,30
94202,Super 8 Charlotte University,16.1,10
94146,Ramada Airport South & Conference Center,14.05,40
223211,North Charlotte Inn,27.5,8
100621,Comfort Suites University Area,20.22222222222222,18
223916,SpringHill Suites Charlotte University Research Park,20.2,35
100568,Sleep Inn Billy Graham Parkway,25.666666666666668,33
