Hotel ID,Hotel Name,Total Rating,Overall Customers
107956,Extended Stay America - Houston - Northwest,28.0,5
108038,Hilton University of Houston,15.142857142857142,14
239853,BEST WESTERN PLUS Downtown Inn & Suites Houston,19.473684210526315,19
1158926,Hilton Garden Inn Houston Energy Corridor,27.333333333333332,3
107915,Drury Inn & Suites Houston Near The Galleria,22.692307692307693,13
559491,Holiday Inn Express Houston East,17.0,2
266158,Super 8 Houston/Hobby Airport/I-45,18.0,2
108057,Residence Inn Houston Clear Lake,17.25,8
223137,La Quinta Inn Houston Northwest,16.25,4
107924,Courtyard by Marriott Houston Westchase,12.11111111111111,9
283873,"Hotel Icon, Autograph Collection",19.44954128440367,109
223151,Hampton Inn and Suites Houston Medical Center - Reliant Park,19.555555555555557,9
98920,Houston Marriott Westchase,19.06896551724138,29
98952,Four Seasons Hotel Houston,17.872340425531913,47
258634,Scottish Inn & Suites Reliant Park/Six Flags,20.25,4
223158,Quality Inn & Suites West Chase,3.0,1
107863,Extended Stay America - Houston - Westchase - Westheimer,8.5,2
99081,Crowne Plaza Houston - Brookhollow,16.789473684210527,19
223164,Homewood Suites by Hilton Houston - Clear Lake,19.857142857142858,7
585164,Residence Inn Houston West/Energy Corridor,22.666666666666668,3
108149,Drury Inn & Suites Houston Hobby,21.88888888888889,18
99067,"Four Points by Sheraton Houston, Memorial City",22.166666666666668,6
223154,Hampton Inn Houston - Near The Galleria,20.0,20
99106,La Quinta Inn Houston Medical / Reliant Center,15.38888888888889,18
650546,Symphony Inn & Suites,19.0,1
596014,Staybridge Suites Houston West / Energy Corridor,28.666666666666668,3
256700,Sun Suites of Hobby / Clearlake,12.5,4
223179,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft,14.75,4
223141,Comfort Suites Westchase,19.1,10
108020,BEST WESTERN Heritage Inn,20.8,5
108150,Courtyard by Marriott Houston Hobby Airport,14.235294117647058,17
223149,Hampton Inn Houston Hobby Airport,20.333333333333332,3
558146,Star Inn & Suites,14.0,2
266326,Super 8 Houston/Downtown/I-610,1.0,1
486939,Hampton Inn & Suites Houston-Westchase,24.333333333333332,3
107884,Americas Best Value Inn & Suites - Houston/Northwest,8.0,7
595438,Extended Stay America - Houston - Katy Freeway - Energy Corridor,23.0,1
223148,Baymont Inn & Suites Houston,15.166666666666666,12
99132,Hilton Houston Westchase,20.57894736842105,19
98989,DoubleTree by Hilton Houston Hobby Airport,18.5625,16
98940,Houston Inn and Suites,9.333333333333334,3
107846,Montecito Apartment Suites,20.0,1
223156,Comfort Inn Houston,12.8,10
239859,Studio 6 Houston Northwest,9.0,1
107802,Econo Lodge,18.0,2
98976,Hotel Preet Northwest,4.8,5
266125,Hobby Inn and Suites,8.5,4
142353,Econo Lodge Medical Center,10.75,4
107713,Ramada Houston Southwest,12.5,4
223135,Travelodge Houston - Intercontinental,12.25,4
107769,Fairfield Inn & Suites Houston I-45 North,10.666666666666666,3
223183,InTown Suites Houston Northwest / Cy-Fair (XHW) - Houston,10.0,1
223184,InTown Suites Highway 290,6.5,2
239858,Studio 6 Houston-Hobby,18.5,2
107999,Quality Inn & Suites West - Energy Corridor,18.333333333333332,3
244313,Motel 6 Houston - Westchase,18.0,1
239355,Super 8 Houston/I-10/Federal Road,18.0,1
73463,Downtowner Inn and Suites,19.428571428571427,7
99031,America's Inn,13.666666666666666,3
99051,Motel 6 Houston West - Katy,13.666666666666666,3
98972,Ramada Inn North Houston,9.333333333333334,6
239857,Studio 6 Houston - Spring,6.666666666666667,3
240481,Super 8 Motel - Houston/I-10W@Hwy6,6.5,4
247110,Quality Suites Bush/IAH Airport West,10.333333333333334,3
98934,Knights Inn Houston,8.095238095238095,21
109734,Quality Inn & Suites Galleria/Westchase,15.6,5
277895,Howard Johnson Clearlake,7.0,5
98962,Holiday Inn Houston Near The Galleria,16.8,5
99013,Baymont Inn Houston Hobby Airport,11.857142857142858,14
141893,Hampton Inn & Suites,10.923076923076923,13
141902,Days Inn West Houston,10.857142857142858,7
73470,Greenway Inn & Suites,7.533333333333333,15
107903,Howard Johnson Express Inn - Houston,8.875,8
108006,Quality Inn Houston,19.0,3
244314,Motel 6 Houston Reliant Park,9.5,2
244196,Preet Inn,14.0,1
240435,Red Carpet Inn Houston,6.5,4
107911,Hotel 31 Houston Near the Galleria,11.68421052631579,19
254040,Moonlight Inn and Suites,6.0,2
223182,InTown Suites Houston Intercontinental,2.0,1
239848,Americas Best Value Inn & Suites-Houston North,5.0,1
649739,Camelot Inn & Suites,23.5,2
98986,Hospitality Inn,20.0,1
217739,Wellesley Suites Memorial,2.0,3
108029,Houston Days Inn Downtown / Medical Center,5.0,1
558038,Regency Inn & Suites,21.0,3
603138,Scottish Inn & Suites Houston - Eastex Freeway,6.0,1
98970,Brentwood Inn,9.0,5
107751,Knights Inn Houston Raceway/Bush Airport,10.0,1
