Hotel ID,Hotel Name,Total Rating,Overall Customers
235385,City Suites Hotel,4.0,2
123209,Chateau Hotel,1.0,1
87600,Delaware Towers,4.0,1
123317,Belair Hotel,3.0,1
123217,Sheffield House,2.0,1
90918,Inn at Lincoln Park,4.0,1
123225,Ohio House Motel,3.0,6
111509,The Sutton Place Hotel,5.0,1
87627,Red Roof Inn,1.0,2
87576,Travelodge Chicago Downtown,2.0,1
87573,Chicago's Essex Inn,3.6666666666666665,3
87656,The Tremont Chicago Hotel at Magnificent Mile,2.4285714285714284,7
90976,Courtyard by Marriott Chicago Downtown,4.5,2
114600,The Whitehall Hotel,3.3333333333333335,3
87566,"Inn of Chicago Magnificent Mile, an Ascend Collection hotel",5.0,2
87657,The Westin Michigan Avenue Chicago,3.0,6
90973,Allerton Hotel,4.0,1
90916,Majestic Hotel,5.0,1
87618,Hyatt Regency McCormick Place,3.0,2
235386,Wheeler Mansion,3.5,2
114608,"Hotel Cass, a Holiday Inn Express",4.5,6
90986,Hilton Suites Chicago/Magnificent Mile,5.0,1
114577,Fairmont Chicago Millennium Park,24.0,1
225108,W Chicago Lakeshore,3.4,5
87590,Hilton Chicago,2.0,1
217510,Club Quarters Chicago - Central Loop,4.0,1
87659,The Westin Chicago River North,4.5,2
87637,Renaissance Chicago Hotel,5.0,1
90957,Hotel Sax Chicago,1.0,2
220240,W Chicago - City Center,5.0,1
87648,Millennium Knickerbocker Hotel Chicago,5.0,1
87645,The Drake,4.0,7
90985,Hotel Allegro Chicago - a Kimpton Hotel,5.0,1
111500,Omni Chicago Hotel,11.0,3
304277,Carlton Inn Midway,21.0,1
87617,Hyatt Regency Chicago,12.0,1
111486,Hampton Inn & Suites Chicago - Downtown,3.3333333333333335,3
111490,Hotel Burnham - a Kimpton Hotel,9.333333333333334,3
114595,"MileNorth, A Chicago Hotel",4.875,8
114591,Four Seasons Hotel Chicago,1.0,1
87654,The Talbott Hotel,4.666666666666667,3
111501,The Palmer House Hilton,3.6,5
87638,Sheraton Chicago Hotel and Towers,2.6666666666666665,6
236299,Sofitel Chicago Water Tower,5.0,2
