Hotel ID,Hotel Name,Total Rating,Overall Customers
225335,Suburban Extended Stay Hotel of Charlotte - WT Harris,10.0,2
94179,Holiday Inn - Merchandise Mart,7.5,2
3461669,Charlotte Inn,4.0,2
100535,Southern Comfort Inn,1.0,1
94097,Value Lodge,3.5,2
100607,Extended Stay America - Charlotte - Tyvola Rd.,15.0,1
121921,InTown Suites Charlotte Northeast,5.666666666666667,3
121855,Queen City Inn,10.6,10
100633,Knights Inn Charlotte,3.25,4
94184,Motel 6 Charlotte Coliseum,20.333333333333332,6
94173,Airport Parkway Inn,14.636363636363637,11
94108,Woodlawn Inn,17.0,6
100638,Brookwood Inn - Charlotte,8.0,5
656554,Charlotte Express Inn,11.25,8
100612,Econo Lodge Coliseum Area,7.2,5
121870,VanLandingham Estate,14.5,8
530678,Knights Inn Charlotte South,7.714285714285714,7
94187,Americas Best Value Inn & Suites-Charlotte,7.0,3
1905160,Arlington Suites,10.333333333333334,3
100634,Super 8 Charlotte Amusement Park,11.142857142857142,7
94168,Motel 6 Charlotte - South,8.0,3
225334,Studio 6 Charlotte Airport,18.0,8
100582,BEST WESTERN PLUS Charlotte/Matthews,14.0,9
223210,Knights Inn Charlotte,11.25,4
94109,City Center Inn,9.76923076923077,13
94152,Budget Inn Charlotte,13.166666666666666,6
559397,Country Hearth Inn Charlotte,8.76923076923077,13
94091,Golden Green Hotel,16.5,2
94156,Americas Best Value Inn & Suites Charlotte,11.5,6
223374,Sonesta ES Suites Charlotte,15.125,16
1593882,Red Roof Inn Charlotte UNCC,12.166666666666666,6
94186,Red Roof Inn Charlotte Airport West,18.0,2
240570,Super 8 Charlotte Sunset Road,3.0,2
100870,Sleep Inn North Lake,16.0,9
262983,Royal Inn Charlotte Airport Hotel,17.25,4
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",13.714285714285714,28
1533531,Econo Lodge Inn & Suites,30.0,1
94149,Budget Inn,10.0,1
628474,Four Points by Sheraton Charlotte,18.303030303030305,33
94130,Crowne Plaza Charlotte,19.48,25
100601,Fairfield Inn Charlotte/Northlake,24.666666666666668,6
94093,Baymont Inn and Suites Charlotte-Airport,10.428571428571429,14
258775,Sun Suites of Charlotte,20.5,12
309952,Days Inn Charlotte / Sunset Road,6.333333333333333,3
94132,Quality Inn - Charlotte,18.38095238095238,21
121918,Microtel Inn by Wyndham Charlotte/University Place,11.1,10
94146,Ramada Airport South & Conference Center,13.181818181818182,33
94202,Super 8 Charlotte University,6.0,2
94095,Days Inn Airport North Charlotte,17.75,8
100629,Days Inn Woodlawn Rd. Near Carowinds,17.285714285714285,14
273191,Comfort Suites Airport,14.090909090909092,11
100621,Comfort Suites University Area,19.375,8
100631,Days Inn Charlotte North - Speedway - UNCC - Research Park,16.375,8
94127,Ramada Charlotte Northeast,11.384615384615385,13
100568,Sleep Inn Billy Graham Parkway,19.8,10
223916,SpringHill Suites Charlotte University Research Park,16.470588235294116,17
94199,BEST WESTERN PLUS Sterling Hotel & Suites,17.53846153846154,13
