Hotel ID,Hotel Name,Total Rating,Overall Customers
225335,Suburban Extended Stay Hotel of Charlotte - WT Harris,10.0,2
94179,Holiday Inn - Merchandise Mart,4.0,1
3461669,Charlotte Inn,4.0,2
100535,Southern Comfort Inn,1.0,1
94097,Value Lodge,3.5,2
100607,Extended Stay America - Charlotte - Tyvola Rd.,15.0,1
121921,InTown Suites Charlotte Northeast,8.0,2
100633,Knights Inn Charlotte,3.25,4
94108,Woodlawn Inn,15.5,4
121855,Queen City Inn,10.88888888888889,9
100638,Brookwood Inn - Charlotte,8.0,5
94184,Motel 6 Charlotte Coliseum,21.0,2
100612,Econo Lodge Coliseum Area,3.25,4
656554,Charlotte Express Inn,7.0,5
530678,Knights Inn Charlotte South,7.166666666666667,6
94173,Airport Parkway Inn,13.2,5
94187,Americas Best Value Inn & Suites-Charlotte,7.0,3
121870,VanLandingham Estate,14.833333333333334,6
100634,Super 8 Charlotte Amusement Park,12.8,5
94168,Motel 6 Charlotte - South,6.0,2
225334,Studio 6 Charlotte Airport,18.0,8
100582,BEST WESTERN PLUS Charlotte/Matthews,12.0,6
223210,Knights Inn Charlotte,8.333333333333334,3
94109,City Center Inn,11.0,8
94152,Budget Inn Charlotte,4.0,2
559397,Country Hearth Inn Charlotte,9.25,12
94156,Americas Best Value Inn & Suites Charlotte,12.6,5
223374,Sonesta ES Suites Charlotte,13.333333333333334,12
1593882,Red Roof Inn Charlotte UNCC,5.0,2
94186,Red Roof Inn Charlotte Airport West,18.0,2
240570,Super 8 Charlotte Sunset Road,3.0,2
100870,Sleep Inn North Lake,12.166666666666666,6
262983,Royal Inn Charlotte Airport Hotel,13.0,3
94149,Budget Inn,10.0,1
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",10.947368421052632,19
100601,Fairfield Inn Charlotte/Northlake,24.75,4
94093,Baymont Inn and Suites Charlotte-Airport,11.444444444444445,9
628474,Four Points by Sheraton Charlotte,17.8,25
309952,Days Inn Charlotte / Sunset Road,6.333333333333333,3
94130,Crowne Plaza Charlotte,22.0,11
258775,Sun Suites of Charlotte,10.75,4
121918,Microtel Inn by Wyndham Charlotte/University Place,12.375,8
94202,Super 8 Charlotte University,6.0,2
94132,Quality Inn - Charlotte,14.5,14
100629,Days Inn Woodlawn Rd. Near Carowinds,14.375,8
94095,Days Inn Airport North Charlotte,19.6,5
273191,Comfort Suites Airport,12.0,9
94146,Ramada Airport South & Conference Center,12.045454545454545,22
100621,Comfort Suites University Area,18.75,4
100631,Days Inn Charlotte North - Speedway - UNCC - Research Park,5.0,3
94192,Rodeway Inn,4.0,1
223916,SpringHill Suites Charlotte University Research Park,15.444444444444445,9
100568,Sleep Inn Billy Graham Parkway,18.0,5
94127,Ramada Charlotte Northeast,11.4,5
94199,BEST WESTERN PLUS Sterling Hotel & Suites,17.22222222222222,9
100563,Extended Stay America - Charlotte - Pineville - Pineville Matthews Rd.,12.0,1
223918,TownePlace Suites Charlotte University Research Park,24.0,2
94158,Quality Inn & Suites,10.444444444444445,9
100627,Comfort Inn Executive Park,9.833333333333334,12
577342,Residence Inn Charlotte SouthPark,16.0,12
94114,Super 8 Charlotte/Downtown Area,23.0,1
94103,Courtyard by Marriott Charlotte SouthPark,21.625,8
223202,Hilton Garden Inn Charlotte North,13.75,4
223215,Residence Inn Charlotte Piper Glen,18.25,8
94102,Courtyard Charlotte Arrowood,20.25,8
223917,TownePlace Suites by Marriott Charlotte Arrowood,10.714285714285714,7
