Hotel ID,Hotel Name,Total Rating,Overall Customers
224757,Red Roof Inn Phoenix West,21.0,1
244405,Motel 6 Phoenix West,13.0,2
119366,Budget Suites of America,9.5,2
119335,Extended Stay America - Phoenix - Airport - E. Oak St.,15.0,1
223039,Extended Stay America - Phoenix - Chandler - E. Chandler Blvd.,2.5,2
74652,Extended Stay America - Phoenix - Midtown,18.0,1
73869,Motel 6 Phoenix - Black Canyon,3.0,2
248145,Sierra Grande Suites,3.0,1
74724,Travel Inn,1.0,2
73743,A Victory Inn & Suites Phoenix North,2.6666666666666665,3
73727,Grace Inn Phoenix,15.285714285714286,7
74561,Sterling International Hotels,3.0,5
75662,Holiday Inn Express Phoenix Airport (University Drive),9.75,4
73712,Super 8 Phoenix,18.25,4
73768,Days Inn I-17 & Thomas,11.5,6
74687,Ramada Inn Phoenix Downtown,3.5,4
217199,Homestead Phoenix Metro,6.0,2
224749,Oakwood At Paradise Lakes,8.0,1
119337,Super 7 Motel,1.0,1
73782,Comfort Suites Conference Center,5.5,4
1160848,Holiday Inn Phoenix-Midtown,6.8,5
239801,Studio 6 Phoenix - Deer Valley,3.0,1
119314,Mainstay Suites Metro Center,14.0,3
74657,Extended Stay America - Phoenix - Metro Center,4.75,4
243927,Motel 6 Phoenix Airport,13.0,1
74720,Days Inn Phoenix,9.5,2
74805,Fairfield Inn Phoenix North,3.0,2
73910,Travel Inn Airport,5.0,1
73937,Residence Inn Phoenix,4.0,2
74744,Super 8 Motel - Phoenix West I-10,2.0,1
73859,La Quinta Inn Phoenix Thomas Road,2.0,1
73718,Lexington Hotel Central Phoenix,8.2,10
73825,Holiday Inn Phoenix-West,25.0,1
223861,SpringHill Suites Phoenix Downtown,13.0,2
74752,Phoenix Metro North Super 8 Motel,1.5,2
218100,InnPlace Hotel Phoenix North,7.352941176470588,17
73792,Embassy Suites Phoenix Airport at 24th Street,8.076923076923077,13
112162,Hotel San Carlos,6.157894736842105,19
224250,Embassy Suites Phoenix-Scottsdale,12.391304347826088,23
239947,TownePlace Suites Phoenix Metrocenter Mall,25.0,1
74758,La Quinta Inn Phoenix - Arcadia,10.666666666666666,6
119330,Arizona Royal Villa Resort,9.5,2
73950,Sleep Inn Airport,16.75,12
239800,Hilton Garden Inn Phoenix,8.777777777777779,9
271801,Crowne Plaza Phoenix,15.0,8
543136,Clarion Hotel Phoenix Tech Center,7.0,1
73799,Embassy Suites Hotel Phoenix-North,7.111111111111111,9
240681,Econo Lodge Airport,11.4,5
223036,Comfort Inn Phoenix West,20.0,1
73751,Courtyard by Marriott Phoenix North,3.0,1
119355,Coast Phoenix Sky Harbor Hotel,15.0,5
74583,Fairfield Inn Phoenix Airport,20.0,2
74669,Sleep Inn North,25.0,2
73821,Hilton Phoenix Airport,9.666666666666666,3
74590,Courtyard by Marriott Phoenix Airport,14.0,2
74826,Courtyard by Marriott Phoenix Camelback,1.0,1
73706,BEST WESTERN Airport Inn,1.5,2
73805,BEST WESTERN Phoenix I-17 MetroCenter Inn,6.0,2
73862,La Quinta Inn Phoenix North,5.0,1
74548,Marriott Phoenix Airport,10.333333333333334,3
73810,Hampton Inn Phoenix Midtown (Downtown Area),3.0,1
119351,Homewood Suites by Hilton Phoenix - Biltmore,3.0,3
74545,Residence Inn Phoenix Airport,14.0,2
73739,BEST WESTERN PLUS InnSuites Phoenix Hotel & Suites,8.75,4
74834,Comfort Suites Phoenix / MetroCenter,6.5,2
224733,Candlewood Suites Phoenix,5.0,3
223273,Holiday Inn Express Phoenix Downtown,25.0,1
73943,Royal Palms Resort and Spa,11.655172413793103,29
119356,Hampton Inn Phoenix Airport North,10.0,2
73855,Hyatt Regency Phoenix,12.411764705882353,17
119353,Homewood Suites by Hilton Phoenix-Metro Center,12.0,2
240682,Fairfield Inn & Suites - Phoenix,20.5,2
313465,Super 8 Phoenix Downtown,2.0,1
115483,Hampton Inn & Suites Phoenix Airport South,9.0,4
74845,Comfort Inn West,7.75,4
74927,La Quinta Inn & Suites Phoenix Chandler,5.0,1
119363,Country Inn & Suites Deer Valley,5.0,1
112154,Embassy Suites Hotel Phoenix Biltmore,12.333333333333334,9
73957,Pointe Hilton Squaw Peak Resort,10.269662921348315,89
115482,DoubleTree Suites by Hilton Phoenix,8.153846153846153,13
223035,Hilton Garden Inn Phoenix Airport,11.25,4
112179,The Ritz-Carlton Phoenix,7.25,8
74626,Legacy Golf Resort,15.0,26
286542,Marriott's Canyon Villas,17.333333333333332,6
564652,Radisson Hotel Phoenix Airport,13.8,5
73947,Sheraton Crescent Hotel,4.0,4
277997,Pointe Hilton Tapatio Cliffs Resort,8.861386138613861,101
223860,JW Marriott Desert Ridge Resort & Spa Phoenix,10.885416666666666,96
115484,Arizona Biltmore,8.527777777777779,36
