Hotel ID,Hotel Name,Total Rating,Overall Customers
102550,Chestnut Hill Hotel,2.0,2
96712,Latham Hotel,4.9,10
102510,Hyatt at the Bellevue,5.8,10
224279,Hampton Inn Philadelphia Convention Center,3.5454545454545454,11
220059,Westin Philadelphia,4.235294117647059,17
122337,Parker-Spruce Hotel,1.0,1
102495,Extended Stay America - Philadelphia - Airport - Bartram Ave.,3.0,2
102509,Penn Tower Hotel,1.4,5
122335,Roosevelt Inn,4.0,2
96730,Society Hill Hotel,4.0,9
102463,Courtyard Philadelphia Downtown,8.0,6
96684,Days Inn Philadelphia - Roosevelt Boulevard,1.0,1
102492,Rodeway Inn Center City,1.0,2
74370,BEST WESTERN Center City Hotel,2.0,4
96705,Holiday Inn Express Philadelphia Midtown,5.714285714285714,7
220057,Four Points by Sheraton Philadelphia Airport,1.6666666666666667,3
102537,Fairfield Inn Philadelphia Airport,2.6666666666666665,3
112132,Loews Philadelphia Hotel,3.34375,32
271793,Hilton Philadelphia City Avenue,3.0,3
102542,Courtyard by Marriott Philadelphia Airport,4.0,2
102503,Residence Inn Philadelphia Airport,1.0,3
96721,Renaissance Philadelphia Airport,4.0,1
102707,Sheraton Philadelphia University City Hotel,5.0,6
122332,Ritz-Carlton Philadelphia,4.0,13
96715,Microtel Inn & Suites by Wyndham Philadelphia Airport,2.0,1
220058,Sheraton Suites Philadelphia Airport,5.166666666666667,6
115448,Travelodge Philadelphia Convention Center,11.5,2
102519,Holiday Inn Philadelphia Stadium,13.5,2
96737,Radisson Plaza-Warwick Hotel Philadelphia,7.1,10
102480,Doubletree by Hilton Philadelphia Center City,4.8076923076923075,26
115444,Philadelphia Airport Marriott,4.333333333333333,6
125307,Sonesta Hotel Philadelphia,5.0,11
96686,Embassy Suites Philadelphia - Airport,2.6666666666666665,6
247008,Residence Inn Philadelphia Center City,3.0,3
96688,Embassy Suites Philadelphia - Center City,4.916666666666667,12
112137,Hilton Philadelphia Airport,2.3333333333333335,3
142181,Comfort Inn Downtown/Historic Area,7.5,4
123541,Hilton Garden Inn Philadelphia Center City,6.2,10
217682,Club Quarters,4.1,20
112129,Holiday Inn Hotel Historic District Philadelphia,3.1666666666666665,6
122325,The Windsor Suites,3.764705882352941,17
74363,BEST WESTERN PLUS Independence Park Hotel,4.666666666666667,3
96711,Hyatt Regency Philadelphia at Penn's Landing,5.3076923076923075,13
112134,Omni Hotel at Independence Park,3.8181818181818183,11
112124,Four Seasons Hotel Philadelphia,8.8,5
224280,Hilton Inn at Penn,3.75,4
122315,Alexander Inn,3.9285714285714284,14
226730,"Rittenhouse 1715, A Boutique Hotel",4.75,4
96735,The Rittenhouse Hotel,3.6,10
122343,Sofitel Philadelphia Hotel,6.538461538461538,26
102710,Sheraton Philadelphia Downtown Hotel,2.6097560975609757,41
102466,Philadelphia Marriott Downtown,6.071428571428571,14
