Hotel ID,Hotel Name,Total Rating,Overall Customers
83095,Rockies Inn,11.0,1
83044,Howard Johnson Inn Denver,3.5,2
85353,Drury Inn Denver East,14.125,8
82992,Days Inn Central,4.333333333333333,3
119939,Motel 5,1.0,1
119949,Budget Inn Motel,3.5,2
82976,Super 8 Denver Stapleton,16.333333333333332,3
223852,TownePlace Suites Denver Downtown,12.0,2
85375,Comfort Inn Denver International Airport,7.6,5
543093,Courtyard by Marriott Denver Cherry Creek,11.714285714285714,7
119981,Homestead Studio Suites - Denver - Tech Center - North,1.0,1
85638,Denver Stapleton Hotel,3.25,4
114326,Loews Denver Hotel,6.583333333333333,12
83091,The Burnsley All Suite Hotel,10.444444444444445,18
85343,Denver's Best Inn and Suites,15.0,2
119975,Jet Hotel,10.0,6
85330,Comfort Inn & Suites,14.0,1
119928,Ramada Denver Midtown,11.0,1
85346,La Quinta Inn Denver Cherry Creek,15.0,2
111562,Renaissance Denver Hotel,8.416666666666666,12
120036,Notel Motel,5.6,5
85341,Comfort Inn Central,5.0,1
119941,Crowne Plaza Hotel Denver,8.333333333333334,12
83060,Four Points by Sheraton Denver Southeast,16.384615384615383,13
82982,Comfort Inn Downtown,7.333333333333333,12
85366,Quality Inn Denver,1.5,2
82984,Courtyard by Marriott Denver Stapleton,9.0,1
85344,La Quinta Inn Denver Central,4.666666666666667,3
85359,Comfort Suites Denver International Airport,10.5,2
83023,Fairfield Inn Denver Cherry Creek,10.0,4
85357,Days Inn & Suites DIA-Denver International Airport,15.333333333333334,3
225090,Microtel Inn by Wyndham Denver,17.0,1
83014,Embassy Suites Denver - Southeast,10.875,8
82960,Holiday Inn Select Denver - Cherry Creek,6.0,18
120072,Hampton Inn Denver - International Airport,12.0,1
81023,The Timbers Hotel,23.0,1
120083,Denver Marriott Tech Center,9.166666666666666,6
270508,Hotel VQ,5.684210526315789,19
85325,Ramada Inn Downtown Denver,9.6,10
225093,Red Lion Hotel Denver Central,10.142857142857142,7
83057,Denver Marriott City Center,5.714285714285714,7
530656,Inn at Cherry Creek,16.0,2
1190033,Hilton Garden Inn Denver Tech Center,10.5,12
125845,Embassy Suites Hotel Denver - Aurora,6.333333333333333,6
83081,Quality Inn & Suites Denver International Airport,10.0,1
120029,Residence Inn Denver Downtown,12.2,15
83038,Ramada Plaza Denver Central Hotel,3.6666666666666665,3
85372,Courtyard by Marriott Denver Airport,7.0,4
1751673,Super 8 Denver - Airport,7.666666666666667,3
85332,Doubletree by Hilton Hotel Denver,13.0,8
83051,Hyatt Regency Denver Tech Center,11.384615384615385,13
85352,Hampton Inn & Suites Denver Tech Center,16.333333333333332,3
258669,Embassy Suites Denver-International Airport,12.375,8
119992,Fairfield Inn Denver Airport,15.8,5
83099,The Westin Denver Downtown,9.206896551724139,29
83046,Grand Hyatt Denver Downtown,11.590909090909092,22
85368,La Quinta Inn & Suites Denver Airport DIA,11.333333333333334,3
83093,The Oxford Hotel,11.705882352941176,17
119993,Courtyard by Marriott Denver Downtown,13.666666666666666,6
83097,Warwick Denver Hotel,8.923076923076923,26
120056,Hotel Monaco Denver - a Kimpton Hotel,8.580645161290322,31
83088,The Brown Palace Hotel and Spa,9.266666666666667,15
308759,JW Marriott Denver Cherry Creek,13.583333333333334,12
120058,Hotel Teatro,6.217391304347826,23
530585,"Country Inn & Suites By Carlson, Denver International Airport",21.5,2
83040,Magnolia Hotel Denver,10.0,20
