Hotel ID,Hotel Name,Total Rating,Overall Customers
94179,Holiday Inn - Merchandise Mart,4.0,1
3461669,Charlotte Inn,2.0,1
100633,Knights Inn Charlotte,1.0,1
530678,Knights Inn Charlotte South,1.0,2
223374,Sonesta ES Suites Charlotte,5.0,1
121868,"Country Inn & Suites By Carlson, Charlotte - I-85 Airport",1.0,1
121918,Microtel Inn by Wyndham Charlotte/University Place,5.0,1
628474,Four Points by Sheraton Charlotte,1.0,1
100629,Days Inn Woodlawn Rd. Near Carowinds,2.0,1
94132,Quality Inn - Charlotte,4.0,1
94146,Ramada Airport South & Conference Center,1.0,1
223215,Residence Inn Charlotte Piper Glen,5.0,1
100529,Homewood Suites by Hilton Charlotte-North/University Research Park,3.0,2
94206,Doubletree Hotel Charlotte Airport,1.0,1
223203,Hilton Garden Inn Charlotte Uptown,3.3333333333333335,3
252496,SpringHill Suites Charlotte Airport,5.0,1
100636,Candlewood Suites - Charlotte University,5.0,1
94194,Hilton Charlotte Executive Park,15.0,2
223197,Courtyard by Marriott Charlotte City Center,5.0,2
223201,Omni Charlotte Hotel,2.0,2
94171,Hilton Charlotte Center City,1.0,1
258879,Westin Charlotte,5.0,2
217635,HYATT house Charlotte Airport,23.0,1
301309,Dunhill Hotel,5.0,1
223195,The Ballantyne Hotel and Lodge,4.5,2
121915,Renaissance Charlotte Suites,23.0,1
